timestamp,open,high,low,close,coin,market_cap_usd,total_volume_usd,market_cap_rank,sentiment_votes_up_pct,price_change_pct_7d,price_change_pct_30d,ath_change_pct,circulating_supply,total_supply,fear_greed_index,collected_at
2025-04-18,1596.41,1684.05,1551.41,1583.48,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-04-22,1583.45,1651.18,1570.08,1577.45,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-04-26,1578.78,1819.79,1558.65,1788.8,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-04-30,1787.36,1848.73,1754.97,1796.97,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-05-04,1798.93,1867.18,1750.28,1834.5,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-05-08,1834.07,1847.56,1757.78,1810.32,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-05-12,1811.71,2587.26,1810.91,2507.47,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-05-16,2509.65,2708.81,2425.76,2542.3,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-05-20,2545.16,2631.38,2367.75,2526.99,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-05-24,2527.81,2720.92,2460.59,2519.81,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-05-28,2520.23,2700.22,2479.53,2662.09,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-06-01,2662.17,2771.24,2494.41,2532.36,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-06-05,2531.53,2667.17,2482.52,2610.34,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-06-09,2609.95,2634.74,2408.52,2508.78,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-06-13,2509.01,2870.51,2482.7,2653.16,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
